"year","month","mo_yr","cmip_projection","weighted_mean_pr_mm","stdev_pr_mm","weighted_mean_tasmin_degC","stdev_tasmin_degC","weighted_mean_tasmax_degC","stdev_tasmax_degC"
"1959","11","11-1959","hadgem2-es.1.rcp45",6.18753910064697,0.126486867666245,0.563287079334259,0.0806855633854866,9.5057373046875,0.0736160725355148
"1959","12","12-1959","hadgem2-es.1.rcp45",1.76967322826385,0.0239072050899267,-6.53492307662964,0.0861143842339516,3.15411686897278,0.0775614380836487
"1960","01","01-1960","hadgem2-es.1.rcp45",2.11107969284058,0.060070026665926,-11.2796335220337,0.133900374174118,-1.14279592037201,0.0831222012639046
"1960","02","02-1960","hadgem2-es.1.rcp45",1.62748312950134,0.021405391395092,-11.734917640686,0.0860694870352745,-1.42876672744751,0.0715976804494858
"1960","03","03-1960","hadgem2-es.1.rcp45",4.78939342498779,0.12538455426693,-5.10762453079224,0.0744342729449272,4.19365167617798,0.0716355070471764
"1960","04","04-1960","hadgem2-es.1.rcp45",3.22383880615234,0.0950773060321808,-0.945404589176178,0.0660268217325211,10.2994689941406,0.0969149395823479
"1960","05","05-1960","hadgem2-es.1.rcp45",3.17784190177917,0.0340037755668163,5.63293170928955,0.0668313130736351,18.5926322937012,0.156366094946861
"1960","06","06-1960","hadgem2-es.1.rcp45",5.5192813873291,0.0617494359612465,10.0569267272949,0.0651491060853004,23.3581371307373,0.162253573536873
"1960","07","07-1960","hadgem2-es.1.rcp45",3.01180171966553,0.0392384715378284,15.0908679962158,0.0737593099474907,27.0785236358643,0.177451938390732
"1960","08","08-1960","hadgem2-es.1.rcp45",0.885156452655792,0.013832425698638,10.2113885879517,0.0805285200476646,24.2945899963379,0.110927976667881
"1960","09","09-1960","hadgem2-es.1.rcp45",6.78902101516724,0.0660068169236183,4.96650314331055,0.119207791984081,18.1659240722656,0.0693363696336746
"1960","10","10-1960","hadgem2-es.1.rcp45",2.45413184165955,0.0227117072790861,3.71546459197998,0.100610643625259,12.7800569534302,0.069475993514061
"1960","11","11-1960","hadgem2-es.1.rcp45",2.43038034439087,0.0706452578306198,-3.00823831558228,0.0781152620911598,4.55284118652344,0.0749661773443222
"1960","12","12-1960","hadgem2-es.1.rcp45",1.85892271995544,0.0509817264974117,-6.86965131759644,0.0855041593313217,1.510169506073,0.0890290513634682
"1961","01","01-1961","hadgem2-es.1.rcp45",4.06120491027832,0.112925559282303,-13.1708097457886,0.125440299510956,-2.27559447288513,0.0916879624128342
"1961","02","02-1961","hadgem2-es.1.rcp45",3.04343056678772,0.0554958209395409,-11.4546337127686,0.102864354848862,0.545552253723145,0.0751118287444115
"1961","03","03-1961","hadgem2-es.1.rcp45",2.65328168869019,0.0665253549814224,-6.84036207199097,0.0896477699279785,4.71720790863037,0.0704386010766029
"1961","04","04-1961","hadgem2-es.1.rcp45",3.99981808662415,0.0811878070235252,0.391242206096649,0.0666294917464256,11.5036716461182,0.107853941619396
"1961","05","05-1961","hadgem2-es.1.rcp45",2.35026907920837,0.0577771887183189,5.37395143508911,0.0671820566058159,17.6637287139893,0.156203895807266
